"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XILMLR2C","book","2000","","The Reading Safari encyclofact","","978-1-58653-052-5","","","","","2000","2025-03-24 18:44:04","2025-03-24 18:45:41","","","32","","","","","","Mondo Reading Safari encyclofact","","","","Mondo","New York","","","","","","Library Catalog (Blacklight)","","OCLC: 51824034","","","https://catalog.libraries.psu.edu/catalog/11146541","interlibrary","Children's encyclopedias and dictionaries; Readers; Reading (Elementary)","Glynn, Raewyn; Kumar, Chetan; Petrov, Elena; Mondo Publishing; Reading Safari (U.S.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"422W6ZRJ","book","1959","Cottrell, Leonard","Wonders of the world","","","","","","","1959","2025-03-21 18:59:14","2025-03-21 19:06:02","","","249","","","","","","","","","","Rinehart","New York","","","","","","Library Catalog (Blacklight)","AG243 .C6","","","","https://catalog.libraries.psu.edu/catalog/987088","physical","Curiosities and wonders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MSSMQYD","book","1958","Kogan, Herman","The great EB: the story of the Encyclopaedia Britannica","","","","","","","1958","2025-03-21 18:56:27","2025-03-21 19:05:59","","","338","","","","","The great EB","","","","","University of Chicago Press","Chicago","","","","","","Library Catalog (Blacklight)","AE5.E44 K6","","","","https://catalog.libraries.psu.edu/catalog/1083292","physical","Encyclopaedia Britannica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESQ555HN","book","1979","Darnton, Robert","The business of enlightenment: a publishing history of the Encyclopédie, 1775-1800","","978-0-674-08785-9","","","","","1979","2025-03-21 18:57:28","2025-03-21 19:05:56","","","624","","","","","The business of enlightenment","","","","","Belknap Press","Cambridge","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/1113749","physical","Encyclopedias and dictionaries, French; Encyclopédie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V2P7XFAL","book","2020","Clark, Josh; Bryant, Chuck; Parker, Nils","Stuff you should know: an incomplete compendium of mostly interesting things","","978-1-250-26850-1 978-1-250-79487-1","","","","The duo behind the massively successful podcast ""Stuff You Should Know"" offers an unexpected look at weird, fascinating, delightful, or unexpected elements of a wide variety of topics, featuring new subjects that they've long wondered about and wanted to explore","2020","2025-03-21 18:59:32","2025-03-21 19:05:53","","","286","","","","","Stuff you should know","","","","","Flatiron Books","New York","","","","","","Library Catalog (Blacklight)","AG244 .C53 2020","OCLC: 1203143527","","","https://catalog.libraries.psu.edu/catalog/36488905","physical","Curiosities and wonders; Podcasts; REFERENCE / Curiosities & Wonders; REFERENCE / Questions & Answers; Trivia and miscellanea","","","","","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAF7H3CB","book","2011","Robertson, Patrick","Robertson's book of firsts: who did what for the first time","","978-1-59691-579-4","","","","""The one-of-a-kind encyclopedia of the first time for everything, from advertisements to zippers.""--Jacket","2011","2025-03-21 19:00:53","2025-03-21 19:05:50","","","569","","","","","Robertson's book of firsts","","","","","Bloomsbury","New York","","","","","","Library Catalog (Blacklight)","AG243 .R553 2011","","","","https://catalog.libraries.psu.edu/catalog/7777837","physical","Curiosities and wonders; Encyclopedias; Handbooks, vade-mecums, etc; United States","","","","","","","","","","","","","","","","","","","","1st U.S. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8942R4L4","book","1979","Alexander, Edward P.","Museums in motion: an introduction to the history and functions of museums","","978-0-910050-35-7","","","","","1979","2025-03-21 19:00:14","2025-03-21 19:05:47","","","308","","","","","Museums in motion","","","","","American Association for State and Local History","Nashville","","","","","","Library Catalog (Blacklight)","AM5 .A38","","","","https://catalog.libraries.psu.edu/catalog/1324907","physical","Museums","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6TAYVY4Q","book","2008","Ayers, Phoebe; Matthews, Charles; Yates, Ben","How Wikipedia works: and how you can be a part of it","","978-1-59327-176-3","","","","","2008","2025-03-21 18:55:17","2025-03-21 19:05:38","","","507","","","","","How Wikipedia works","","","","","No Starch Press","San Francisco","","","","","","Library Catalog (Blacklight)","AE1.5 .A98 2008","OCLC: 185698411","","","https://catalog.libraries.psu.edu/catalog/5090060","physical","Electronic encyclopedias; Handbooks, manuals, etc; Social media; User-generated content; Wikipedia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INXCBASK","book","2016","Standage, Tom; Economist Newspaper Limited","Go figure: things you didn't know you didn't know: the Economist explains","","978-1-61039-743-8","","","","""Go Figure: Things You Didn't Know You Didn't Know brings together for the first time the very best explainers and charts, written and created by top journalists to help us understand such brain-bending conundrums as why almost half the population of Korea has one of two surnames, how bitcoin mining works, and the seasonal distribution of dog poo on the streets of New York. Subjects both topical and timeless, profound and peculiar, are explained with The Economist trademark wit and verve, ""--Baker & Taylor","2016","2025-03-21 19:00:40","2025-03-21 19:05:35","","","247","","","","","Go figure","","","","","PublicAffairs","New York","","","","","","Library Catalog (Blacklight)","AG243 .S73 2016","OCLC: 962187747","","","https://catalog.libraries.psu.edu/catalog/20048983","physical","Curiosities and wonders; Handbooks, vade-mecums, etc; Handbooks and manuals; History; Miscellanea; Science","","","","Economist Newspaper Limited","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGSIAEP3","book","2016","Boyles, Denis","Everything Explained that is Explainable: On the Creation of the Encyclopædia Britannica's Celebrated Eleventh Edition, 1910-1911","","978-0-307-26917-1","","","","""The audacious, improbable tale of 20th century American hucksterism, outlandish daring, and vision that resurrected a dying Encyclopedia Britannica in collaboration with a floundering London Times, its astonishing success that changed publishing and that produced the Britannica's eleventh edition (published between 1910 and 1911), the most revered edition of English-language encyclopedias (all 44 million words), considered by many to be ""the last great work of the age of reason"" (Hans Koening, the New Yorker)""--","2016","2025-03-21 18:55:46","2025-03-21 19:05:31","","","442","","","","","Everything Explained that is Explainable","","","","","Alfred A. Knopf","New York","","","","","","Library Catalog (Blacklight)","AE5.E3633 B69 2016","OCLC: 927166013","","","https://catalog.libraries.psu.edu/catalog/19566846","physical","Encyclopedias and dictionaries; Encyclopaedia Britannica; History; Criticism, interpretation, etc; HISTORY / Study & Teaching; HISTORY / World; History and criticism; REFERENCE / Encyclopedias","","","","","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SCXHZ9YD","book","1965","","Encyclopedia: selections [by] Diderot, D'Alembert and a society of men of letters","","","","","","","1965","2025-03-21 18:57:08","2025-03-21 19:05:28","","","400","","","","","Encyclopedia","Library of liberal arts","","","","Bobbs-Merrill","Indianapolis","","","","","","Library Catalog (Blacklight)","AE25 .E536 1965a","","","","https://catalog.libraries.psu.edu/catalog/1770980","physical","","Diderot, Denis; Alembert, Jean Le Rond d'; Hoyt, Nelly S.; Cassirer, Thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9G9S77GS","book","1969","McWhirter, Norris; McWhirter, Ross; Dunlop Rubber Company","Dunlop illustrated encyclopedia of facts","","","","","","","1969","2025-03-21 18:58:11","2025-03-21 19:05:23","","","864","","","","","","","","","","Doubleday","Garden City, N.Y","","","","","","Library Catalog (Blacklight)","AG6 .M34","","","","https://catalog.libraries.psu.edu/catalog/712551","physical","Encyclopedias and dictionaries","","","","Dunlop Rubber Company","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6CU8MTH7","book","2014","Jemielniak, Dariusz","Common knowledge? an ethnography of Wikipedia","","978-0-8047-8944-8","","","","","2014","2025-03-21 18:57:46","2025-03-21 19:05:20","","","293","","","","","Common knowledge?","","","","","Stanford University Press","Stanford, California","","","","","","Library Catalog (Blacklight)","AE100 .J46 2014","OCLC: 865452353","","","https://catalog.libraries.psu.edu/catalog/13219212","physical","Electronic encyclopedias; Wikipedia; Organizational sociology; Social aspects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFZBKRYG","book","2006","Plimmer, Martin; King, Brian","Beyond coincidence: stories of amazing coincidence and the mystery and mathematics behind them","","978-0-312-34036-0","","","","","2006","2025-03-21 19:01:09","2025-03-21 19:05:16","","","277","","","","","Beyond coincidence","","","","","Thomas Dunne Books","New York","","","","","","Library Catalog (Blacklight)","AG243 .P58 2006","OCLC: 60589152","","","https://catalog.libraries.psu.edu/catalog/3023094","physical","Curiosities and wonders; Miscellanea; Coincidence","","","","","","","","","","","","","","","","","","","","1st U.S. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XZLXY42M","book","1995","Jones, Judy; Wilson, William","An incomplete education","","978-0-345-39137-7","","","","","1995","2025-03-21 18:58:58","2025-03-21 19:05:11","","","683","","","","","","","","","","Ballantine Books","New York","","","","","","Library Catalog (Blacklight)","AG105 .J64 1995","","","","https://catalog.libraries.psu.edu/catalog/1546298","physical","Handbooks, vade-mecums, etc","","","","","","","","","","","","","","","","","","","","Rev. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSPH6TEK","book","1966","Phyfe, William Henry P.","5000 facts and fancies: a cyclopaedia of important, curious, quaint, and unique information in history, literature, science, art, and nature","","","","","","","1966","2025-03-21 18:52:18","2025-03-21 19:05:03","","","816","","","","","5000 facts and fancies","","","","","Gale Research Co","Detroit","","","","","","Library Catalog (Blacklight)","AG5 .P6 1901a","","","","https://catalog.libraries.psu.edu/catalog/1324727","physical","Encyclopedias and dictionaries","","","","","","","","","","","","","","","","","","","","Rev. and corr. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
